"patRIL","matRIL","sex","id"
22371,11371,"F",22371
22373,11373,"F",22373
22374,11374,"F",22374
22375,11375,"F",22375
22388,11388,"F",22388
22389,11389,"F",22389
22390,11390,"F",22390
22391,11391,"F",22391
22392,11392,"F",22392
22395,11395,"F",22395
22396,11396,"F",22396
22398,11398,"F",22398
22399,11399,"F",22399
22402,11402,"F",22402
22405,11405,"F",22405
22406,11406,"F",22406
22407,11407,"F",22407
22408,11408,"F",22408
22409,11409,"F",22409
22410,11410,"F",22410
22411,11411,"F",22411
22412,11412,"F",22412
22413,11413,"F",22413
22415,11415,"F",22415
22419,11419,"F",22419
22421,11421,"F",22421
22422,11422,"F",22422
22423,11423,"F",22423
22424,11424,"F",22424
22426,11426,"F",22426
22430,11430,"F",22430
22431,11431,"F",22431
22432,11432,"F",22432
22433,11433,"F",22433
22434,11434,"F",22434
22435,11435,"F",22435
22438,11438,"F",22438
22439,11439,"F",22439
22441,11441,"F",22441
22442,11442,"F",22442
22443,11443,"F",22443
22445,11445,"F",22445
22446,11446,"F",22446
22447,11447,"F",22447
22448,11448,"F",22448
22450,11450,"F",22450
22451,11451,"F",22451
22452,11452,"F",22452
22453,11453,"F",22453
22454,11454,"F",22454
22456,11456,"F",22456
22457,11457,"F",22457
22459,11459,"F",22459
22461,11461,"F",22461
22462,11462,"F",22462
22464,11464,"F",22464
22465,11465,"F",22465
22466,11466,"F",22466
22468,11468,"F",22468
22469,11469,"F",22469
22472,11472,"F",22472
